Area,Element,Item,Year,Value
United States of America,Emissions (CH4),Agriculture total,1961,8771.6993
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1961,184205.6845
United States of America,Emissions (CH4),Enteric Fermentation,1961,6876.7867
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1961,144412.5199
United States of America,Emissions (CH4),Manure Management,1961,1583.0819
United States of America,Emissions (CO2eq) from CH4,Manure Management,1961,33244.7194
United States of America,Emissions (CH4),Rice Cultivation,1961,225.05
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1961,4726.05
United States of America,Emissions (CH4),Burning - Crop residues,1961,86.7807
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1961,1822.3952
Canada,Emissions (CH4),Agriculture total,1961,1037.4142
Canada,Emissions (CO2eq) from CH4,Agriculture total,1961,21785.6988
Canada,Emissions (CH4),Enteric Fermentation,1961,814.5455
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1961,17105.4555
Canada,Emissions (CH4),Manure Management,1961,211.367
Canada,Emissions (CO2eq) from CH4,Manure Management,1961,4438.7063
Canada,Emissions (CH4),Burning - Crop residues,1961,11.5018
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1961,241.537
World,Emissions (CH4),Agriculture total,1961,90652.061
World,Emissions (CO2eq) from CH4,Agriculture total,1961,1903693.281
World,Emissions (CH4),Enteric Fermentation,1961,65354.8986
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1961,1372452.871
World,Emissions (CH4),Manure Management,1961,7178.1744
World,Emissions (CO2eq) from CH4,Manure Management,1961,150741.6634
World,Emissions (CH4),Rice Cultivation,1961,17426.473
World,Emissions (CO2eq) from CH4,Rice Cultivation,1961,365955.9325
World,Emissions (CH4),Burning - Crop residues,1961,692.515
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1961,14542.8148
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1962,14633.3009
World,Emissions (CH4),Burning - Crop residues,1962,696.8239
World,Emissions (CO2eq) from CH4,Rice Cultivation,1962,379109.0457
World,Emissions (CH4),Rice Cultivation,1962,18052.8117
World,Emissions (CO2eq) from CH4,Manure Management,1962,154246.1109
World,Emissions (CH4),Manure Management,1962,7345.0529
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1962,1392501.919
World,Emissions (CH4),Enteric Fermentation,1962,66309.6152
World,Emissions (CO2eq) from CH4,Agriculture total,1962,1940490.377
World,Emissions (CH4),Agriculture total,1962,92404.3037
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1962,256.2259
Canada,Emissions (CH4),Burning - Crop residues,1962,12.2012
Canada,Emissions (CO2eq) from CH4,Manure Management,1962,4434.383
Canada,Emissions (CH4),Manure Management,1962,211.1611
